GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",5784,544
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7682,613
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2548,214
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",5805,609
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4662,338
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3474,212
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",7235,593
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4643,366
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2986,329
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",2025,127
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1702,277
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2573,236
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",5753,367
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4376,387
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4799,516
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2463,168
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4271,228
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",3615,304
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",4782,759
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",4219,415
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",3622,203
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3403,213
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",3482,235
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5321,239
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",2859,190
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",2957,204
